cohort_month,loyalty_status,months_since_acquisition,active_users,cohort_size,retention_pct
2019-12-01,0,10,5,902,0.55
2019-12-01,0,11,2,902,0.22
2019-12-01,0,12,6,902,0.67
2019-12-01,0,13,5,902,0.55
2019-12-01,0,14,2,902,0.22
2019-12-01,0,15,3,902,0.33
2019-12-01,0,16,5,902,0.55
2019-12-01,0,17,3,902,0.33
2019-12-01,0,18,1,902,0.11
2019-12-01,0,19,2,902,0.22
2019-12-01,0,20,2,902,0.22
2019-12-01,0,21,1,902,0.11
2019-12-01,0,23,1,902,0.11
2019-12-01,0,24,1,902,0.11
2019-12-01,0,25,2,902,0.22
2019-12-01,0,27,2,902,0.22
2019-12-01,0,28,3,902,0.33
2019-12-01,0,29,1,902,0.11
2019-12-01,0,32,1,902,0.11
2019-12-01,0,33,1,902,0.11
2019-12-01,0,35,2,902,0.22
2019-12-01,0,36,1,902,0.11
2019-12-01,1,0,335,335,100.0
2019-12-01,1,1,5,335,1.49
2019-12-01,1,2,2,335,0.6
2019-12-01,1,3,2,335,0.6
2019-12-01,1,4,1,335,0.3
2019-12-01,1,5,2,335,0.6
2019-12-01,1,6,1,335,0.3
2019-12-01,1,7,1,335,0.3
2019-12-01,1,9,2,335,0.6
2019-12-01,1,11,3,335,0.9
2019-12-01,1,13,1,335,0.3
2019-12-01,1,14,1,335,0.3
2019-12-01,1,15,1,335,0.3
2019-12-01,1,24,2,335,0.6
2019-12-01,1,25,1,335,0.3
2019-12-01,1,35,1,335,0.3
2020-01-01,0,0,903,903,100.0
2020-01-01,0,1,12,903,1.33
2020-01-01,0,2,16,903,1.77
2020-01-01,0,3,5,903,0.55
2020-01-01,0,4,7,903,0.78
2020-01-01,0,5,1,903,0.11
2020-01-01,0,6,3,903,0.33
2020-01-01,0,7,2,903,0.22
2020-01-01,0,8,4,903,0.44
2020-01-01,0,9,2,903,0.22
2020-01-01,0,10,1,903,0.11
2020-01-01,0,11,1,903,0.11
2020-01-01,0,12,4,903,0.44
2020-01-01,0,13,4,903,0.44
2020-01-01,0,14,4,903,0.44
2020-01-01,0,15,1,903,0.11
2020-01-01,0,16,1,903,0.11
2020-01-01,0,20,2,903,0.22
2020-01-01,0,22,3,903,0.33
2020-01-01,0,23,1,903,0.11
2020-01-01,0,25,2,903,0.22
2020-01-01,0,26,1,903,0.11
2020-01-01,0,28,2,903,0.22
2020-01-01,0,30,1,903,0.11
2020-01-01,0,31,1,903,0.11
2020-01-01,0,33,1,903,0.11
2020-01-01,0,34,2,903,0.22
2020-01-01,1,0,331,331,100.0
2020-01-01,1,1,2,331,0.6
2020-01-01,1,2,2,331,0.6
2020-01-01,1,3,1,331,0.3
2020-01-01,1,4,1,331,0.3
2020-01-01,1,8,1,331,0.3
2020-01-01,1,9,1,331,0.3
2020-01-01,1,12,1,331,0.3
2020-01-01,1,13,1,331,0.3
2020-01-01,1,15,1,331,0.3
2020-01-01,1,21,1,331,0.3
2020-01-01,1,24,1,331,0.3
2020-01-01,1,25,1,331,0.3
2020-01-01,1,26,1,331,0.3
2020-01-01,1,28,1,331,0.3
2020-01-01,1,32,1,331,0.3
2020-01-01,1,33,1,331,0.3
2020-02-01,0,0,1146,1146,100.0
2020-02-01,0,1,23,1146,2.01
2020-02-01,0,2,22,1146,1.92
2020-02-01,0,3,16,1146,1.4
2020-02-01,0,4,3,1146,0.26
2020-02-01,0,5,2,1146,0.17
2020-02-01,0,6,3,1146,0.26
2020-02-01,0,7,1,1146,0.09
2020-02-01,0,8,4,1146,0.35
2020-02-01,0,9,2,1146,0.17
2020-02-01,0,10,4,1146,0.35
2020-02-01,0,11,2,1146,0.17
2020-02-01,0,12,2,1146,0.17
2020-02-01,0,13,5,1146,0.44
2020-02-01,0,14,6,1146,0.52
2020-02-01,0,15,1,1146,0.09
2020-02-01,0,16,2,1146,0.17
2020-02-01,0,17,1,1146,0.09
2020-02-01,0,18,1,1146,0.09
2020-02-01,0,19,2,1146,0.17
2020-02-01,0,20,1,1146,0.09
2020-02-01,0,21,5,1146,0.44
2020-02-01,0,22,4,1146,0.35
2020-02-01,0,23,2,1146,0.17
2020-02-01,0,25,5,1146,0.44
2020-02-01,0,27,1,1146,0.09
2020-02-01,0,29,2,1146,0.17
2020-02-01,0,31,3,1146,0.26
2020-02-01,0,33,1,1146,0.09
2020-02-01,0,34,2,1146,0.17
2020-02-01,1,0,411,411,100.0
2020-02-01,1,2,2,411,0.49
2020-02-01,1,3,2,411,0.49
2020-02-01,1,4,1,411,0.24
2020-02-01,1,6,1,411,0.24
2020-02-01,1,7,1,411,0.24
2020-02-01,1,9,1,411,0.24
2020-02-01,1,11,1,411,0.24
2020-02-01,1,12,2,411,0.49
2020-02-01,1,13,1,411,0.24
2020-02-01,1,14,1,411,0.24
2020-02-01,1,16,1,411,0.24
2020-02-01,1,21,2,411,0.49
2020-02-01,1,24,1,411,0.24
2020-02-01,1,25,1,411,0.24
2020-02-01,1,26,1,411,0.24
2020-02-01,1,31,1,411,0.24
2020-02-01,1,34,2,411,0.49
2020-03-01,0,0,1590,1590,100.0
2020-03-01,0,1,54,1590,3.4
2020-03-01,0,2,31,1590,1.95
2020-03-01,0,3,24,1590,1.51
2020-03-01,0,4,6,1590,0.38
2020-03-01,0,5,9,1590,0.57
2020-03-01,0,6,4,1590,0.25
2020-03-01,0,7,7,1590,0.44
2020-03-01,0,8,6,1590,0.38
2020-03-01,0,9,5,1590,0.31
2020-03-01,0,10,4,1590,0.25
2020-03-01,0,11,2,1590,0.13
2020-03-01,0,12,8,1590,0.5
2020-03-01,0,13,3,1590,0.19
2020-03-01,0,14,6,1590,0.38
2020-03-01,0,15,1,1590,0.06
2020-03-01,0,16,2,1590,0.13
2020-03-01,0,17,2,1590,0.13
2020-03-01,0,18,3,1590,0.19
2020-03-01,0,19,1,1590,0.06
2020-03-01,0,21,2,1590,0.13
2020-03-01,0,23,1,1590,0.06
2020-03-01,0,24,6,1590,0.38
2020-03-01,0,25,3,1590,0.19
2020-03-01,0,26,2,1590,0.13
2020-03-01,0,27,1,1590,0.06
2020-03-01,0,28,1,1590,0.06
2020-03-01,0,29,1,1590,0.06
2020-03-01,0,30,1,1590,0.06
2020-03-01,0,32,2,1590,0.13
2020-03-01,0,33,1,1590,0.06
2020-03-01,1,0,685,685,100.0
2020-03-01,1,1,4,685,0.58
2020-03-01,1,2,1,685,0.15
2020-03-01,1,4,3,685,0.44
2020-03-01,1,5,3,685,0.44
2020-03-01,1,8,1,685,0.15
2020-03-01,1,10,1,685,0.15
2020-03-01,1,11,3,685,0.44
2020-03-01,1,12,1,685,0.15
2020-03-01,1,13,2,685,0.29
2020-03-01,1,14,1,685,0.15
2020-03-01,1,16,1,685,0.15
2020-03-01,1,18,3,685,0.44
2020-03-01,1,19,1,685,0.15
2020-03-01,1,20,1,685,0.15
2020-03-01,1,21,4,685,0.58
2020-03-01,1,23,1,685,0.15
2020-03-01,1,26,1,685,0.15
2020-03-01,1,28,1,685,0.15
2020-03-01,1,30,2,685,0.29
2020-04-01,0,0,1754,1754,100.0
2020-04-01,0,1,44,1754,2.51
2020-04-01,0,2,29,1754,1.65
2020-04-01,0,3,14,1754,0.8
2020-04-01,0,4,7,1754,0.4
2020-04-01,0,5,5,1754,0.29
2020-04-01,0,6,7,1754,0.4
2020-04-01,0,7,3,1754,0.17
2020-04-01,0,8,5,1754,0.29
2020-04-01,0,9,7,1754,0.4
2020-04-01,0,10,5,1754,0.29
2020-04-01,0,11,6,1754,0.34
2020-04-01,0,12,5,1754,0.29
2020-04-01,0,13,9,1754,0.51
2020-04-01,0,14,6,1754,0.34
2020-04-01,0,15,4,1754,0.23
2020-04-01,0,16,5,1754,0.29
2020-04-01,0,17,5,1754,0.29
2020-04-01,0,18,3,1754,0.17
2020-04-01,0,19,2,1754,0.11
2020-04-01,0,21,5,1754,0.29
2020-04-01,0,22,2,1754,0.11
2020-04-01,0,23,1,1754,0.06
2020-04-01,0,24,2,1754,0.11
2020-04-01,0,25,7,1754,0.4
2020-04-01,0,26,3,1754,0.17
2020-04-01,0,27,1,1754,0.06
2020-04-01,0,28,4,1754,0.23
2020-04-01,0,29,1,1754,0.06
2020-04-01,0,30,1,1754,0.06
2020-04-01,0,31,1,1754,0.06
2020-04-01,0,32,2,1754,0.11
2020-04-01,1,0,935,935,100.0
2020-04-01,1,1,4,935,0.43
2020-04-01,1,2,6,935,0.64
2020-04-01,1,3,2,935,0.21
2020-04-01,1,4,1,935,0.11
2020-04-01,1,5,4,935,0.43
2020-04-01,1,6,2,935,0.21
2020-04-01,1,7,2,935,0.21
2020-04-01,1,8,1,935,0.11
2020-04-01,1,9,1,935,0.11
2020-04-01,1,10,1,935,0.11
2020-04-01,1,11,3,935,0.32
2020-04-01,1,13,2,935,0.21
2020-04-01,1,14,2,935,0.21
2020-04-01,1,16,3,935,0.32
2020-04-01,1,18,1,935,0.11
2020-04-01,1,19,1,935,0.11
